,Top_10_Song,Performer_Count,Song_Name_Count,Debut_Position,Song_Name_Count,Performer_Count,Danceability,Energy,Loudness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_min,Debut_Season,Debut_Month,Debut_Decade,Key,Mode,Time_Signature
0,1,16,1,1,1,16,0.543,0.332,-11.573,0.669,0.0,0.134,0.795,154.999,2.56555,Summer,August,50's,C,Major,4/4
1,1,30,1,3,1,30,0.645,0.943,-1.526,0.385,0.0,0.37,0.965,147.768,2.195333333333333,Summer,August,50's,C,Major,4/4
2,1,1,1,5,1,1,0.646,0.582,-12.679,0.168,4.55e-06,0.976,0.963,96.49,2.40955,Summer,August,50's,F#,Major,4/4
3,1,10,1,7,1,10,0.715,0.669,-9.491,0.705,0.000732,0.044,0.976,120.789,1.884,Summer,August,50's,G,Major,4/4
4,1,19,1,8,1,19,0.548,0.253,-11.387,0.871,9.88e-05,0.138,0.238,68.184,2.75045,Summer,August,50's,E,Major,3/4
5,1,1,2,9,2,1,0.897,0.367,-15.751,0.0453,0.327,0.143,0.957,100.755,2.7378833333333334,Summer,August,50's,E,Major,4/4
6,1,8,3,10,3,8,0.794,0.0715,-21.305,0.388,0.0,0.111,0.333,68.331,3.3751166666666665,Summer,August,50's,G,Major,4/4
7,1,19,1,11,1,19,0.546,0.623,-12.136,0.461,4.32e-05,0.195,0.976,147.226,2.0608833333333334,Summer,August,50's,G#,Major,4/4
8,1,1,3,12,3,1,0.61,0.326,-12.266,0.687,0.182,0.135,0.415,125.822,2.54955,Summer,August,50's,G,Major,3/4
9,0,8,1,14,1,8,0.31,0.122,-16.23,0.878,0.000182,0.122,0.342,83.152,2.7051166666666666,Summer,August,50's,D#,Major,4/4
10,0,1,5,15,5,1,0.365,0.438,-16.317,0.659,0.000672,0.847,0.506,75.55,4.19355,Summer,August,50's,D,Major,3/4
11,0,1,2,16,2,1,0.421,0.356,-6.889,0.883,0.0,0.288,0.514,98.393,2.2196333333333333,Summer,August,50's,A,Major,3/4
12,0,2,1,17,1,2,0.587,0.184,-10.737,0.829,1.66e-05,0.116,0.529,111.195,2.3948833333333335,Summer,August,50's,E,Major,4/4
13,1,1,1,18,1,1,0.408,0.397,-12.536,0.873,0.0,0.28,0.697,72.615,2.7128833333333335,Summer,August,50's,A,Major,4/4
14,0,3,2,19,2,3,0.649,0.289,-13.221,0.643,5.94e-06,0.0674,0.629,184.211,2.68245,Summer,August,50's,D#,Major,4/4
15,0,8,1,20,1,8,0.625,0.438,-12.003,0.519,3.7e-05,0.155,0.957,155.537,2.76155,Summer,August,50's,C,Major,4/4
16,0,27,1,22,1,27,0.233,0.337,-10.031,0.854,1.53e-06,0.274,0.218,73.576,2.804883333333333,Summer,August,50's,F,Major,4/4
17,1,14,1,23,1,14,0.668,0.457,-7.138,0.493,0.0147,0.117,0.691,120.494,2.3417333333333334,Summer,August,50's,G,Major,4/4
18,0,1,1,24,1,1,0.643,0.617,-5.006,0.823,0.0,0.33,0.881,157.748,2.2993333333333332,Summer,August,50's,A,Major,4/4
19,0,2,3,25,3,2,0.667,0.391,-8.712,0.728,0.0,0.0809,0.682,101.3,2.4466666666666668,Summer,August,50's,Bb,Major,3/4
20,1,2,1,26,1,2,0.501,0.516,-3.652,0.511,0.0505,0.086,0.87,84.984,2.2887666666666666,Summer,August,50's,E,Major,4/4
